id,name,mcap/tvl,address,symbol,url,description,chain,logo,audits,audit_note,gecko_id,cmcId,category,chains,module,twitter,audit_links,oracles,slug,tvl,chainTvls,change_1h,change_1d,change_7d,staking,fdv,mcap,pool2
3,Curve,0.07240099213544493,0xD533a949740bb3306d119CC777fa900bA034cd52,CRV,https://curve.fi,Curve is a decentralized exchange liquidity pool on Ethereum designed for extremely efficient stablecoin trading,Multi-Chain,https://icons.llama.fi/curve.png,2,,curve-dao-token,6538,Dexes,"['Ethereum', 'Avalanche', 'Fantom', 'Polygon', 'Arbitrum', 'xDai', 'Harmony', 'Optimism']",curve/index.js,CurveFinance,['https://curve.fi/audits'],['Chainlink'],curve,19094655725.348705,"{'Optimism': 508157.3781462627, 'Avalanche': 1019771120.0020596, 'Harmony': 36125839.43157918, 'Ethereum': 16653523093.64974, 'xDai': 63882647.723817624, 'Ethereum-staking': 1476269118.098303, 'Polygon': 413370831.8212078, 'Arbitrum': 220766354.9236567, 'Fantom': 686707680.4184983, 'staking': 1476269118.098303}",0.2494167408508332,4.442921950556553,13.060853606261375,1476269118.098303,11650089573,1382472019,
118,MakerDAO,0.12171034204693558,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,MKR,https://makerdao.com/,"Builders of Dai, a digital currency that can be used by anyone, anywhere.
",Ethereum,https://icons.llama.fi/makerdao.jpg,2,,maker,1518,Algo-Stables,['Ethereum'],maker/index.js,MakerDAO,['https://security.makerdao.com/'],['Maker'],makerdao,17101395107.38813,{'Ethereum': 17101395107.38813},0.5342169266766348,6.663069864952334,10.18131945937175,,2322200473,2081416648,
319,Convex Finance,0.10393380180771167,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,CVX,https://www.convexfinance.com/,Convex simplifies your Curve-boosting experience to maximize your yields.,Ethereum,https://icons.llama.fi/convex-finance.jpg,2,,convex-finance,9903,Yield,['Ethereum'],convex/index.js,ConvexFinance,['https://github.com/convex-eth/platform/blob/main/audit/Convex%20Platform%20Security%20Audit%20Report.pdf'],,convex-finance,13347283452.274044,"{'Ethereum': 13347283452.274044, 'Ethereum-staking': 1083886630.7792869, 'staking': 1083886630.7792869}",0.2244945170310615,4.6959623371870265,16.48681034650332,1083886630.7792869,2842406295,1387233913,
111,AAVE,0.1834633407935643,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,"https://aave.com
",Aave is an Open Source and Non-Custodial protocol to earn interest on deposits and borrow assets,Multi-Chain,https://icons.llama.fi/aave.png,2,,aave,7278,Lending,"['Ethereum', 'Avalanche', 'Polygon']",aave/index.js,AaveAave,['https://aave.com/security'],['Chainlink'],aave,12583269660.382103,"{'pool2': 236817486.37915596, 'Avalanche': 2674735173.7272463, 'Polygon-borrowed': 3218334439.2264323, 'Ethereum-pool2': 236817486.37915596, 'Ethereum': 7549418516.222775, 'Ethereum-staking': 467993987.71702594, 'Polygon': 2359115970.43208, 'Ethereum-borrowed': 4196834707.3098254, 'borrowed': 9563483328.232544, 'Avalanche-borrowed': 2148314181.6962867, 'staking': 467993987.71702594}",-0.009525734308041933,6.776390439197158,9.371292385752028,467993987.71702594,2734581950,2308568690,236817486.37915596
2,WBTC,1.0002142868122004,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,https://wbtc.network/,"Wrapped Bitcoin (WBTC) is the first ERC20 token backed 1:1 with Bitcoin.
Completely transparent. 100% verifiable. Community led.",Ethereum,https://icons.llama.fi/wbtc.png,2,,wrapped-bitcoin,3717,Cross Chain,['Ethereum'],wbtc.js,WrappedBTC,['https://wbtc.network/dashboard/audit'],['Chainlink'],wbtc,10898020722.880001,{'Ethereum': 10898020722.880001},0.2795113370762152,9.211281416212614,6.550331354748735,,10900356025,10900356025,
240,Polygon Bridge & Staking,1.1645718209838423,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,MATIC,https://polygon.technology/,"Ethereum sidechain
",Polygon,https://icons.llama.fi/polygon.jpg,0,,matic-network,3890,Chain,['Polygon'],polygon/index.js,0xPolygon,,,polygon-bridge-&-staking,10343988565.534023,{'Polygon': 10343988565.534023},9.845305811495564e-06,-1.8437708336316376,1.4183576478611855,,17527295377,12046317600,
182,Lido,0.02195611157376917,0x5a98fcbea516cf06857215779fd812ca3bef1b32,LDO,https://lido.fi/,"Liquidity for staked assets. Daily rewards, no lock ups. Available for Ethereum, Solana & Terra.",Multi-Chain,https://icons.llama.fi/lido.png,2,,lido-dao,8000,Staking,"['Ethereum', 'Terra', 'Solana']",lido/index.js,LidoFinance,['https://github.com/lidofinance/audits'],,lido,9107201670.394564,"{'Ethereum': 5402374187.3251095, 'Solana': 218541126.88190505, 'Terra': 3486286356.18755}",0.4970803540889932,9.570689130124379,12.84638915990503,,2175956450,199958736,
294,Anchor,0.039717928076081745,-,ANC,https://anchorprotocol.com/,Money market on Terra,Terra,https://icons.llama.fi/anchor.jpg,2,,anchor-protocol,8857,Lending,['Terra'],anchor/index.js,anchor_protocol,['https://docs.anchorprotocol.com/security#audits'],,anchor,7979780072.940472,"{'Terra-borrowed': 1386926896.0999453, 'Terra': 7979780072.940472, 'borrowed': 1386926896.0999453}",0.21208980267284971,5.69752174583175,10.767180366241405,,1437694091,316940331,
591,Multichain,0.056479682339375954,0x9Fb9a33956351cf4fa040f65A13b835A3C8764E3,MULTI,https://multichain.org/,"Cross-Chain Router Protocol (CRP), envisioned to be the ultimate router for Web3.",Multi-Chain,https://icons.llama.fi/multichain.jpg,2,,anyswap,5892,Bridge,"['Fantom', 'Avalanche', 'Ethereum', 'Binance', 'Arbitrum', 'Moonriver', 'OKExChain', 'Harmony', 'Polygon', 'Telos', 'Heco', 'xDai', 'Kucoin', 'Syscoin']",anyswap/index.js,MultichainOrg,"['https://github.com/anyswap/Anyswap-Audit/blob/master/TrailOfBits/Anyswap-CrossChain-Bridge-TrailofBits-Audit-Final%20Report.pdf', 'https://github.com/anyswap/Anyswap-Audit/blob/master/SlowMist/AnySwap%20CrossChain-Bridge%20Security%20Audit%20Report.pdf', 'https://github.com/anyswap/Anyswap-Audit/blob/master/SlowMist/Anyswap%20Smart%20Contract%20Security%20Audit.pdf', 'https://github.com/peckshield/publications/blob/master/audit_reports/PeckShield-Audit-Report-Travala-AnyswapV5ERC20-v1.0.pdf']",,multichain,7698084231.201148,"{'OKExChain': 61215447.31673475, 'Moonriver': 169568116.79759032, 'Avalanche': 678290417.024247, 'Kucoin': 910900.3814301012, 'Harmony': 60120960.14011014, 'Binance': 437661504.99545395, 'Ethereum': 530600694.3919721, 'xDai': 2902573.841629547, 'Heco': 3274221.4684924814, 'Syscoin': 17402.38593110355, 'Polygon': 34599108.877872325, 'Telos': 8835620.471803363, 'Arbitrum': 198210946.13835672, 'Fantom': 5332067348.826547}",-0.024918646669576106,2.831760169931897,-4.415365543246111,,2361151792,434785352,
114,Compound,0.12345302950049541,0xc00e94cb662c3520282e6f5717214004a7f26888,COMP,https://compound.finance,"Compound is an algorithmic, autonomous interest rate protocol built for developers, to unlock a universe of open financial applications.",Ethereum,https://icons.llama.fi/compound.png,2,,compound-governance-token,5692,Lending,['Ethereum'],compound-onchain/index.js,compoundfinance,['https://compound.finance/docs/security'],['Chainlink'],compound,7318201397.369308,"{'Ethereum': 7318201397.369308, 'Ethereum-borrowed': 4082067934.86791, 'borrowed': 4082067934.86791}",0.25338243417448325,8.423901143560997,11.709822108104689,,1380505759,903454133,
